,Name,Full Address,Lat,Lon
0,1. Stanford Law School,"559 Nathan Abbott Way, Stanford, CA 94305",37.4240548,-122.167553
1,2. Yale Law School,"127 Wall St, New Haven, CT 06511",41.3120323,-72.9277806
2,3. University of Chicago Law School,"1111 E 60th St, Chicago, IL 60637",41.7859006,-87.5988832
3,4. University of Virginia School of Law,"580 Massie Rd, Charlottesville, VA 22903",38.0531671,-78.5091802
4,5. University of Pennsylvania Carey Law School,"3501 Sansom St, Philadelphia, PA 19104",39.9539096,-75.194008
5,6. Duke University School of Law,"210 Science Dr, Durham, NC 27708",35.9997551,-78.9452741
6,7. Harvard Law School,"1587 Massachusetts Ave, Cambridge, MA 02138",42.3794451,-71.1202969
7,8. New York University School of Law,"40 Washington Sq E, New York, NY 10003",40.7297768,-73.9965104
8,9. University of Michigan Law School,"701 S State St, Ann Arbor, MI 48109",42.2730016,-83.7400511
9,10. Columbia Law School,"435 W 116th St, New York, NY 10027",40.8067529,-73.9604834
10,11. Northwestern Pritzker School of Law,"375 E Chicago Ave, Chicago, IL 60611",41.8967273,-87.6190084
11,12. UCLA School of Law,"385 Charles E Young Dr E, Los Angeles, CA 90095",34.073506,-118.4378951
12,13. Berkeley Law School,"Berkeley, CA 94720",37.8708393,-122.272863
13,14. Georgetown University Law Center,"600 New Jersey Ave NW, Washington, DC 20001",38.8978187,-77.0135902
14,15. University of Texas School of Law,"727 E Dean Keeton St, Austin, TX 78705",30.2894539,-97.7313804
15,16. Vanderbilt University Law School,"131 21st Ave S, Nashville, TN 37203",36.150121,-86.8010604
16,17. Washington University School of Law,"One Brookings Dr, St Louis, MO 63130",38.6477591,-90.3023685
17,18. Cornell Law School,"158 McGraw Pl, Ithaca, NY 14853",42.4505576,-76.4888822
18,19. UNC School of Law,"160 Ridge Rd, Chapel Hill, NC 27514",35.9085127,-79.0421313
19,20. University of Minnesota Law School,"229 19th Ave S, Minneapolis, MN 55455",44.9730817,-93.2442709
20,21. University of Notre Dame Law School,"Notre Dame, IN 46556",41.7045677,-86.2382203
21,22. Boston University School of Law,"885 Centre St, Newton Centre, MA 02459",42.3417969,-71.194702
22,23. Texas A&M School of Law,"1515 Commerce St, Dallas, TX 75201",32.7801176,-96.7983751
23,24. University of Georgia School of Law,"225 Herty Dr, Athens, GA 30602",33.9551778,-83.3750588
24,25. Boston College Law School,"885 Centre St, Newton Centre, MA 02459",42.3417969,-71.194702
25,26. USC Gould School of Law,"699 S Figueroa St, Los Angeles, CA 90017",34.050202,-118.259217
26,27. Wake Forest University School of Law,"1834 Wake Forest Rd, Winston-Salem, NC 27109",36.134335,-80.2781152
27,28. Brigham Young University J. Reuben Clark Law School,"Provo, UT 84602",40.2337289,-111.6587085
28,29. Ohio State University Moritz College of Law,"55 W 12th Ave, Columbus, OH 43210",39.9968085,-83.0087004
29,30. University of Wisconsin Law School,"Madison, WI 53706",43.074761,-89.3837613
