Name,Full Address
1. Stanford Law School,"559 Nathan Abbott Way, Stanford, CA 94305"
2. Yale Law School,"127 Wall St, New Haven, CT 06511"
3. University of Chicago Law School,"1111 E 60th St, Chicago, IL 60637"
4. University of Virginia School of Law,"580 Massie Rd, Charlottesville, VA 22903"
5. University of Pennsylvania Carey Law School,"3501 Sansom St, Philadelphia, PA 19104"
6. Duke University School of Law,"210 Science Dr, Durham, NC 27708"
7. Harvard Law School,"1587 Massachusetts Ave, Cambridge, MA 02138"
8. New York University School of Law,"40 Washington Sq E, New York, NY 10003"
9. University of Michigan Law School,"701 S State St, Ann Arbor, MI 48109"
10. Columbia Law School,"435 W 116th St, New York, NY 10027"
11. Northwestern Pritzker School of Law,"375 E Chicago Ave, Chicago, IL 60611"
12. UCLA School of Law,"385 Charles E Young Dr E, Los Angeles, CA 90095"
13. Berkeley Law School,"Berkeley, CA 94720"
14. Georgetown University Law Center,"600 New Jersey Ave NW, Washington, DC 20001"
15. University of Texas School of Law,"727 E Dean Keeton St, Austin, TX 78705"
16. Vanderbilt University Law School,"131 21st Ave S, Nashville, TN 37203"
17. Washington University School of Law,"One Brookings Dr, St Louis, MO 63130"
18. Cornell Law School,"158 McGraw Pl, Ithaca, NY 14853"
19. UNC School of Law,"160 Ridge Rd, Chapel Hill, NC 27514"
20. University of Minnesota Law School,"229 19th Ave S, Minneapolis, MN 55455"
21. University of Notre Dame Law School,"Notre Dame, IN 46556"
22. Boston University School of Law,"885 Centre St, Newton Centre, MA 02459"
23. Texas A&M School of Law,"1515 Commerce St, Dallas, TX 75201"
24. University of Georgia School of Law,"225 Herty Dr, Athens, GA 30602"
25. Boston College Law School,"885 Centre St, Newton Centre, MA 02459"
26. USC Gould School of Law,"699 S Figueroa St, Los Angeles, CA 90017"
27. Wake Forest University School of Law,"1834 Wake Forest Rd, Winston-Salem, NC 27109"
28. Brigham Young University J. Reuben Clark Law School,"Provo, UT 84602"
29. Ohio State University Moritz College of Law,"55 W 12th Ave, Columbus, OH 43210"
30. University of Wisconsin Law School,"Madison, WI 53706"
