Ortho Program,Rank,Region,OrthoCultureScoreUsed,LawRankWeight,OrthoRankWeight,DistWeight,CultureWeight
5. Mass General Brigham/Massachusetts General Hospital/Brigham and Women's Hospital/Harvard Medical School (Boston),1,Boston,3,5,1,5,10
49. Boston University Medical Center Orthopaedic Surgery Residency,12,Boston,0,,,,
56. Tufts Medical Center Orthopaedic Surgery Residency,14,Boston,0,,,,
40. UCLA David Geffen School of Medicine/UCLA Medical Center Orthopaedic Surgery Residency,21,LA,0,,,,
47. Cedars Sinai Medical Center Orthopaedic Surgery Residency,25,LA,0,,,,
23. Stanford Orthopedic Residency Program,3,San Francisco,0,,,,
14. University of California (San Francisco),29,San Francisco,0,,,,
3. NYU Grossman School of Medicine/NYU Langone Orthopedic Hospital,5,NYC area,-1,,,,
1. Hospital for Special Surgery/Cornell Medical Center,9,NYC area,-1,,,,
38. Hofstra/Northwell at Lenox Hill Hospital Orthopaedic Surgery Residency,18,NYC area,0,,,,
20. New York Presbyterian Hospital (Columbia Campus),22,NYC area,-3,,,,
73. Icahn School of Medicine at Mount Sinai Orthopaedic Surgery Residency,26,NYC area,0,,,,
26. Zucker School of Medicine at Hofstra/Northwell,30,NYC area,0,,,,
18. University of Pennsylvania Health System,7,Pennsylvania,-2,,,,
11. Sidney Kimmel Medical College at Thomas Jefferson University/TJUH,8,Pennsylvania,-2,,,,
67. Temple University Hospital Orthopaedic Surgery Residency,23,Pennsylvania,0,,,,
71. Dell Medical School at UT Austin Orthopaedic Surgery Residency,16,Texas,5,,,,
31. University of Virginia Orthopaedic Surgery Residency,6,South (not NC),0,,,,
7. Duke Orthopaedic Surgery Residency,2,NC,2,,,,
72. University of North Carolina Hospitals Orthopaedic Surgery Residency,19,NC,5,,,,
6. Rush Medical Center Orthopaedic Surgery Residency,4,Chicago / Michigan,0,,,,
21. University of Michigan,10,Chicago / Michigan,0,,,,
59. University of Chicago Orthopaedic Surgery Residency,13,Chicago / Michigan,0,,,,
27. McGaw Medical Center of Northwestern University,15,Chicago / Michigan,0,,,,
42. Loyola University Medical Center Orthopaedic Surgery Residency,24,Chicago / Michigan,0,,,,
4. Washington University,20,Midwest,0,,,,
35. University of Minnesota Orthopaedic Surgery Residency,28,Midwest,0,,,,
60. Yale-New Haven Medical Center Orthopaedic Surgery Residency,11,Other,0,,,,
8. Vanderbilt Orthopaedic Surgery Residency,17,Other,0,,,,
46. MedStar Health Georgetown University Orthopaedic Surgery Residency,27,Other,0,,,,
